ID;NAME;REGION_ID;AGENCIA_ID
1;ACHAO;1;21
2;ALGARROBO;2;17
3;ALHUE;3;17
4;ALTO DEL CARMEN;4;4
5;ANCUD;1;21
6;ANDACOLLO;5;5
7;ANGOL;6;10
8;ANTIHUALA;7;9
9;ANTOFAGASTA;8;3
10;ANTUCO;7;22
11;ARAUCO;7;9
12;ARICA;9;16
13;AYACARA;1;11
14;BAHIA MURTA;10;12
15;BALMACEDA;10;12
16;BAQUEDANO;11;2
17;BATUCO;3;1
18;BELLOTO;2;6
19;BUCALEMU;12;7
20;BUIN;3;1
21;BULNES;13;9
22;CABILDO;2;6
23;CABRERO;7;9
24;CAIMANES;5;5
25;CAJON;6;10
26;CALAMA;8;3
27;CALBUCO;1;11
28;CALDERA;4;4
29;CALERA DE TANGO;3;1
30;CAMARONES;11;2
31;CAMINA;11;2
32;CANELA;5;18
33;CANELA ALTA;5;18
34;CANELA BAJA;5;18
35;CANETE;7;9
36;CAPITAN PASTENE;6;10
37;CARAHUE;6;10
38;CARAMPANGUE;7;9
39;CARTAGENA;2;17
40;CASABLANCA;2;6
41;CASTRO;1;21
42;CATEMU;2;20
43;CAUQUENES;14;8
44;CERRO ALTO;7;9
45;CERRO SOMBRERO;15;13
46;CHADA;3;1
47;CHAITEN;1;11
48;CHAMPA;3;1
49;CHANARAL;4;4
50;CHANCO;14;8
51;CHEPICA;12;7
52;CHERQUENCO;6;10
53;CHIGUAYANTE;7;9
54;CHILE CHICO;10;12
55;CHILLAN;13;9
56;CHILOE;1;21
57;CHIMBARONGO;12;7
58;CHINCOLCO;2;20
59;CHOL-CHOL;6;10
60;CHONCHI;1;21
61;CHUQUICAMATA;8;3
62;CIRUELOS;1;11
63;CISNE MEDIO;10;12
64;COBQUECURA;13;9
65;COCHAMO;1;11
66;COCHRANE;10;12
67;CODEGUA;12;7
68;COELEMU;13;9
69;COIHUECO;13;9
70;COINCO;12;7
71;COLBUN;14;8
72;COLCHANE;11;2
73;COLINA;3;1
74;COLLIPULLI;6;10
75;COLTAUCO;12;7
76;COMBARBALA;5;18
77;CONCEPCION;7;9
78;CONCON;2;6
79;CONSTITUCION;14;8
80;CONTULMO;7;9
81;COPIAPO;4;4
82;COPIHUE;14;8
83;COQUIMBO;5;5
84;CORINTO;14;8
85;CORONEL;7;9
86;CORRAL;16;15
87;COYA;12;7
88;COYHAIQUE;10;12
89;CUMPEO;14;8
90;CUNACO;12;7
91;CUNCO;6;10
92;CURACAUTIN;6;10
93;CURACAVI;3;1
94;CURACO DE VELEZ;1;21
95;CURANILAHUE;7;9
96;CURANIPE;14;8
97;CUREPTO;14;8
98;CURICO;14;8
99;DALCAHUE;1;21
100;DGO.DE ALMAGRO;4;4
101;DONIHUE;12;7
102;EL CARMEN;13;9
103;EL MANZANO;5;5
104;EL MELON;2;6
105;EL MONTE;3;1
106;EL OLIVAR;12;7
107;EL PAQUI;5;5
108;EL QUISCO;2;17
109;EL SALVADOR;4;4
110;EL TABO;2;17
111;ENTRE LAGOS;1;19
112;ERCILLA;6;10
113;FLORIDA;7;9
114;FREIRE;6;10
115;FREIRINA;4;4
116;FRESIA;1;11
117;FRUTILLAR;1;11
118;FTE.BAQUEDANO;11;2
119;FUNDINA;5;5
120;FUTALEUFU;1;11
121;FUTRONO;16;15
122;GALVARINO;6;10
123;GENERAL LAGOS;9;16
124;GORBEA;6;10
125;GRAL.LOPEZ;6;10
126;GRANEROS;12;7
127;HIJUELAS;2;6
128;HOSPITAL;3;1
129;HUALAIHUE;1;11
130;HUALANE;14;8
131;HUALPIN;6;10
132;HUALQUI;7;9
133;HUAMPULLA;5;5
134;HUAQUEN;14;8
135;HUARA;11;2
136;HUASCO;4;4
137;HUELQUEN;3;1
138;HUENTELAUQUEN;5;5
139;HUEPIL;7;22
140;ILLAPEL;5;5
